MAINTENANCE_AGENCY_ID,MAPPING_ID,NAME,MAPPING_TYPE,CODE,ALGORITHM,MEMBER_MAPPING_ID,VARIABLE_MAPPING_ID
ECB,DPM_si632,DPM_si632,A,DPM_si632,,,DPM_si632
ECB,DPM_ei319,Mapping of Group or individual,E,DPM_ei319,,DPM_ei319,DPM_ei319
ECB,DPM_ei326,Mapping of Article 7 Waiver granted,E,DPM_ei326,,DPM_ei326,DPM_ei326
ECB,DPM_ei555,Mapping of Type of entity,E,DPM_ei555,,DPM_ei555,DPM_ei555
ECB,DPM_ei562,Mapping of Name of Deposit Guarantee Scheme (DGS),E,DPM_ei562,,DPM_ei562,DPM_ei562
ECB,DPM_ei566,Mapping of Degree of impact on market,E,DPM_ei566,,DPM_ei566,DPM_ei566
ECB,DPM_ei567,Mapping of Degree of substitutability,E,DPM_ei567,,DPM_ei567,DPM_ei567
ECB,DPM_ei572,Mapping of Estimated time for substitutability,E,DPM_ei572,,DPM_ei572,DPM_ei572
ECB,DPM_ei573,Mapping of Estimated time for access to contracts,E,DPM_ei573,,DPM_ei573,DPM_ei573
ECB,DPM_ei574,Mapping of Is resolution-proof contract,E,DPM_ei574,,DPM_ei574,DPM_ei574
ECB,DPM_ei575,Mapping of FMI system type,E,DPM_ei575,,DPM_ei575,DPM_ei575
ECB,DPM_ei578,Mapping of Mode of participation in FMI,E,DPM_ei578,,DPM_ei578,DPM_ei578
ECB,DPM_ei581,Mapping of Country the law of which governs access to the FMI,E,DPM_ei581,,DPM_ei581,DPM_ei581
ECB,DPM_ei584,Mapping of Type of information system,E,DPM_ei584,,DPM_ei584,DPM_ei584
ECB,DPM_ei600,Mapping of Country the law of which governs the contract / master agreement,E,DPM_ei600,,DPM_ei600,DPM_ei600
ECB,DPM_ei634,Mapping of Location of critical function,E,DPM_ei634,,DPM_ei634,DPM_ei634
ECB,DPM_ei635,Mapping of Critical function ID,E,DPM_ei635,,DPM_ei635,DPM_ei635
ECB,DPM_ObservationValue,DPM_ObservationValue,A,DPM_ObservationValue,,,DPM_ObservationValue
ECB,DPM_IFM,DPM_IFM,A,DPM_IFM,,,DPM_IFM
ECB,DPM_IDU,DPM_IDU,A,DPM_IDU,,,DPM_IDU
ECB,DPM_TSR,DPM_TSR,A,DPM_TSR,,,DPM_TSR
ECB,AMOUNT_CAT,Mapping of Amount category for the template AMOUNTCAT,E,AMOUNT_CAT,,AMOUNT_CAT,AMOUNT_CAT
ECB,IR_BUS_COV,Mapping of IR business coverage for the template IRBUSCOV,E,IR_BUS_COV,,IR_BUS_COV,IR_BUS_COV
ECB,MATURITY_NOT_IRATE,Mapping of Original maturity/Period of notice/Initial rate fixation for the template MATURITYNOTIRATE,E,MATURITY_NOT_IRATE,,MATURITY_NOT_IRATE,MATURITY_NOT_IRATE
ECB,BS_ITEM_DATA_TYPE_MIR,"Mapping of Balance sheet item, MFI interest rate data type for the template BSITEM",E,BS_ITEM_DATA_TYPE_MIR,,BS_ITEM_DATA_TYPE_MIR,BS_ITEM_DATA_TYPE_MIR
ECB,CSDB_ACCRUALSTARTDATE,CSDB_ACCRUALSTARTDATE,A,CSDB_ACCRUALSTARTDATE,,,CSDB_ACCRUALSTARTDATE
ECB,CSDB_ACCRUEDINTEREST,CSDB_ACCRUEDINTEREST,A,CSDB_ACCRUEDINTEREST,,,CSDB_ACCRUEDINTEREST
ECB,CSDB_AMOUNTISSUED,CSDB_AMOUNTISSUED,A,CSDB_AMOUNTISSUED,,,CSDB_AMOUNTISSUED
ECB,CSDB_AMOUNTISSUED_EUR,CSDB_AMOUNTISSUED_EUR,A,CSDB_AMOUNTISSUED_EUR,,,CSDB_AMOUNTISSUED_EUR
