VARIABLE_MAPPING_ID,MAINTENANCE_AGENCY_ID,CODE,NAME
CSDB_IDIRCOUNTRY,ECB,CSDB_IDIRCOUNTRY,Mapping of Issuer country for the template CSDBIDIRCOUNTRY
CSDB_IDISSUEDATE,ECB,CSDB_IDISSUEDATE,CSDB_IDISSUEDATE
CSDB_SPLITFACTOR,ECB,CSDB_SPLITFACTOR,CSDB_SPLITFACTOR
CSDB_VOLUMETRADED,ECB,CSDB_VOLUMETRADED,CSDB_VOLUMETRADED
CSDB_NUMBERISSUED,ECB,CSDB_NUMBERISSUED,CSDB_NUMBERISSUED
CSDB_CLOSINGPRICE,ECB,CSDB_CLOSINGPRICE,CSDB_CLOSINGPRICE
CSDB_ISCLASHGROUP,ECB,CSDB_ISCLASHGROUP,Mapping of Group type for the template CSDBISCLASHGROUP
CSDB_IDIRDEBTTYPE,ECB,CSDB_IDIRDEBTTYPE,Mapping of Debt type for the template CSDBIDIRDEBTTYPE
CSDB_IDUDCOMPOUND,ECB,CSDB_IDUDCOMPOUND,CSDB_IDUDCOMPOUND
CSDB_NOMINALVALUE,ECB,CSDB_NOMINALVALUE,CSDB_NOMINALVALUE
CSDB_AMOUNTISSUED,ECB,CSDB_AMOUNTISSUED,CSDB_AMOUNTISSUED
CSDB_IDIRDEBTTYPE_N,ECB,CSDB_IDIRDEBTTYPE_N,Mapping of Primary Asset Classification 2 for the template CSDBIDIRDEBTTYPEN
CSDB_MUTUALFUNDTYPE,ECB,CSDB_MUTUALFUNDTYPE,Mapping of Fund type for the template CSDBMUTUALFUNDTYPE
CSDB_SOURCECODETYPE,ECB,CSDB_SOURCECODETYPE,CSDB_SOURCECODETYPE
CSDB_DIVIDENDAMOUNT,ECB,CSDB_DIVIDENDAMOUNT,CSDB_DIVIDENDAMOUNT
CSDB_IDMATURITYDATE,ECB,CSDB_IDMATURITYDATE,CSDB_IDMATURITYDATE
CSDB_IDIRCOUPONTYPE,ECB,CSDB_IDIRCOUPONTYPE,Mapping of Coupon type for the template CSDBIDIRCOUPONTYPE
CSDB_VA_ESCBCODETYPE,ECB,CSDB_VA_ESCBCODETYPE,Mapping of ESCB issuer identifier type for the template CSDBVAESCBCODETYPE
CSDB_CORRECTION_DATE,ECB,CSDB_CORRECTION_DATE,CSDB_CORRECTION_DATE
CSDB_NORMALISEDPRICE,ECB,CSDB_NORMALISEDPRICE,CSDB_NORMALISEDPRICE
CSDB_ACCRUEDINTEREST,ECB,CSDB_ACCRUEDINTEREST,CSDB_ACCRUEDINTEREST
CSDB_SPLITFACTORDATE,ECB,CSDB_SPLITFACTORDATE,CSDB_SPLITFACTORDATE
CSDB_REDEMPTIONPRICE,ECB,CSDB_REDEMPTIONPRICE,CSDB_REDEMPTIONPRICE
CSDB_VA_BONDDURATION,ECB,CSDB_VA_BONDDURATION,CSDB_VA_BONDDURATION
CSDB_ISSUERSOURCECODE,ECB,CSDB_ISSUERSOURCECODE,CSDB_ISSUERSOURCECODE
CSDB_PUBLICATIONPRICE,ECB,CSDB_PUBLICATIONPRICE,CSDB_PUBLICATIONPRICE
CSDB_NOMINALVALUE_EUR,ECB,CSDB_NOMINALVALUE_EUR,CSDB_NOMINALVALUE_EUR
CSDB_AMOUNTISSUED_EUR,ECB,CSDB_AMOUNTISSUED_EUR,CSDB_AMOUNTISSUED_EUR
CSDB_ACCRUALSTARTDATE,ECB,CSDB_ACCRUALSTARTDATE,CSDB_ACCRUALSTARTDATE
CSDB_CLOSINGPRICE_EUR,ECB,CSDB_CLOSINGPRICE_EUR,CSDB_CLOSINGPRICE_EUR
CSDB_RESIDUALMATURITY,ECB,CSDB_RESIDUALMATURITY,CSDB_RESIDUALMATURITY
CSDB_IDIRASSETSECTYPE,ECB,CSDB_IDIRASSETSECTYPE,Mapping of Asset securitisation type for the template CSDBIDIRASSETSECTYPE
CSDB_VA_SECURITYSTATUS,ECB,CSDB_VA_SECURITYSTATUS,Mapping of Security status for the template CSDBVASECURITYSTATUS
CSDB_EXTERNALCODE_ISIN,ECB,CSDB_EXTERNALCODE_ISIN,CSDB_EXTERNALCODE_ISIN
CSDB_HASEMBEDDEDOPTION,ECB,CSDB_HASEMBEDDEDOPTION,Mapping of Has Embedded Option for the template CSDBHASEMBEDDEDOPTION
CSDB_MFMARKETSTRUCTURE,ECB,CSDB_MFMARKETSTRUCTURE,Mapping of Fund asset structure type for the template CSDBMFMARKETSTRUCTURE
CSDB_DEBTACCRUALDEBTOR,ECB,CSDB_DEBTACCRUALDEBTOR,CSDB_DEBTACCRUALDEBTOR
CSDB_AMOUNTOUTSTANDING,ECB,CSDB_AMOUNTOUTSTANDING,CSDB_AMOUNTOUTSTANDING
CSDB_DIVIDENDAMOUNTTYPE,ECB,CSDB_DIVIDENDAMOUNTTYPE,Mapping of Dividend amount type for the template CSDBDIVIDENDAMOUNTTYPE
CSDB_DIVIDENDAMOUNT_EUR,ECB,CSDB_DIVIDENDAMOUNT_EUR,CSDB_DIVIDENDAMOUNT_EUR
CSDB_IDIRCURRENCY_PRICE,ECB,CSDB_IDIRCURRENCY_PRICE,Mapping of Price currency for the template CSDBIDIRCURRENCYPRICE
CSDB_ISSUEREXTERNALCODE,ECB,CSDB_ISSUEREXTERNALCODE,CSDB_ISSUEREXTERNALCODE
CSDB_IDIRREDEMPTIONTYPE,ECB,CSDB_IDIRREDEMPTIONTYPE,Mapping of Redemption type for the template CSDBIDIRREDEMPTIONTYPE
CSDB_NUMBEROFSECURITIES,ECB,CSDB_NUMBEROFSECURITIES,CSDB_NUMBEROFSECURITIES
CSDB_PRIMARYLISTINGNAME,ECB,CSDB_PRIMARYLISTINGNAME,Mapping of Primary listing name for the template CSDBPRIMARYLISTINGNAME
CSDB_IDIRQUOTECONVENTION,ECB,CSDB_IDIRQUOTECONVENTION,CSDB_IDIRQUOTECONVENTION
CSDB_IDIRCURRENCY_COUPON,ECB,CSDB_IDIRCURRENCY_COUPON,Mapping of Coupon currency for the template CSDBIDIRCURRENCYCOUPON
CSDB_IDIRCOUPONFREQUENCY,ECB,CSDB_IDIRCOUPONFREQUENCY,Mapping of Last Coupon frequency for the template CSDBIDIRCOUPONFREQUENCY
CSDB_MONTHLYAVERAGEPRICE,ECB,CSDB_MONTHLYAVERAGEPRICE,CSDB_MONTHLYAVERAGEPRICE
CSDB_DEBTACCRUALCREDITOR,ECB,CSDB_DEBTACCRUALCREDITOR,CSDB_DEBTACCRUALCREDITOR
CSDB_DEBTACCRUALDEBTOR_DM,ECB,CSDB_DEBTACCRUALDEBTOR_DM,Mapping of Accrued income factor – value type  for the template CSDBDEBTACCRUALDEBTORDM
CSDB_MARKETCAPITALISATION,ECB,CSDB_MARKETCAPITALISATION,CSDB_MARKETCAPITALISATION
CSDB_YTMNONOPTIONADJUSTED,ECB,CSDB_YTMNONOPTIONADJUSTED,CSDB_YTMNONOPTIONADJUSTED
CSDB_IDIRCURRENCY_NOMINAL,ECB,CSDB_IDIRCURRENCY_NOMINAL,Mapping of Nominal currency for the template CSDBIDIRCURRENCYNOMINAL
CSDB_VA_ISELIGIBLEFOREADB,ECB,CSDB_VA_ISELIGIBLEFOREADB,Mapping of Is In EADB for the template CSDBVAISELIGIBLEFOREADB
CSDB_PUBLICATIONPRICETYPE,ECB,CSDB_PUBLICATIONPRICETYPE,Mapping of Price value type for the template CSDBPUBLICATIONPRICETYPE
CSDB_PUBLICATIONPRICEDATE,ECB,CSDB_PUBLICATIONPRICEDATE,CSDB_PUBLICATIONPRICEDATE
CSDB_VA_SECURITYSTATUSDATE,ECB,CSDB_VA_SECURITYSTATUSDATE,CSDB_VA_SECURITYSTATUSDATE
CSDB_PRIMARYLISTINGCOUNTRY,ECB,CSDB_PRIMARYLISTINGCOUNTRY,Mapping of Primary listing residency country for the template CSDBPRIMARYLISTINGCOUNTRY
CSDB_IDIRCURRENCY_DIVIDEND,ECB,CSDB_IDIRCURRENCY_DIVIDEND,Mapping of Dividend currency for the template CSDBIDIRCURRENCYDIVIDEND
CSDB_MFGEOGRAPHICSTRUCTURE,ECB,CSDB_MFGEOGRAPHICSTRUCTURE,Mapping of Fund geographical market structure for the template CSDBMFGEOGRAPHICSTRUCTURE
CSDB_EXTERNALCODE_NATIONAL,ECB,CSDB_EXTERNALCODE_NATIONAL,CSDB_EXTERNALCODE_NATIONAL
CSDB_AMOUNTOUTSTANDING_EUR,ECB,CSDB_AMOUNTOUTSTANDING_EUR,CSDB_AMOUNTOUTSTANDING_EUR
CSDB_AMOUNTOUTSTANDINGTYPE,ECB,CSDB_AMOUNTOUTSTANDINGTYPE,Mapping of Amounts Outstanding type for the template CSDBAMOUNTOUTSTANDINGTYPE
CSDB_ISSUEREXTERNALCODE_BIC,ECB,CSDB_ISSUEREXTERNALCODE_BIC,CSDB_ISSUEREXTERNALCODE_BIC
