CUBE_STRUCTURE_ITEM_LINK_ID,CUBE_LINK_ID,FOREIGN_CUBE_VARIABLE_CODE,PRIMARY_CUBE_VARIABLE_CODE
F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Intangible assets other than Goodwill:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Intangible assets other than Goodwill,2319,1506
F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Intangible assets other than Goodwill:HLD_SL_INDCTR:HLD_SL_INDCTR,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Intangible assets other than Goodwill,2322,1503
F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Intangible assets:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Intangible assets,2319,1506
F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Intangible assets:HLD_SL_INDCTR:HLD_SL_INDCTR,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Intangible assets,2322,1503
F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Tangible assets:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Tangible assets,2319,1506
F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Tangible assets:HLD_SL_INDCTR:HLD_SL_INDCTR,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Tangible assets,2322,1503
F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Tax assets:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Tax assets,2319,1506
F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Tax assets:HLD_SL_INDCTR:HLD_SL_INDCTR,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Tax assets,2322,1503
F_01_01_REF_FINREP_3_0:PRTY:Advances that are not loans:INSTTTNL_SCTR:INSTTTNL_SCTR,F_01_01_REF_FINREP_3_0:PRTY:Advances that are not loans,2324,1640
F_01_01_REF_FINREP_3_0:PRTY:Credit card debt:INSTTTNL_SCTR:INSTTTNL_SCTR,F_01_01_REF_FINREP_3_0:PRTY:Credit card debt,2324,1640
